file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,ascii_c,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_037,0,0,0,0,0,0,0,0,4,4,0,0,0,1,5,3,4,0,2,2,2,1,1,2,0,0,0,2,2,0,1,4,13,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,57,101.68,20,1
file_038,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,2,2,1,2,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,3,12,12,129.107,11,1
file_039,0,0,0,1,0,0,8,1,0,1,0,0,1,0,8,8,1,0,2,2,2,0,1,2,0,0,0,0,0,0,2,8,2,10,8,8,0,1,0,0,2,0,0,0,0,0,0,0,0,4,20,20,15.021,36,1
file_040,3,1,1,0,0,1,0,0,0,5,0,0,2,0,4,4,0,0,2,2,1,1,1,2,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,31,31,11.268,11,1
file_041,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.263,8,1
file_042,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,9,9,4.38,8,1
file_043,0,0,0,0,0,0,0,0,0,0,0,0,0,2,201,201,0,0,0,1,2,0,1,4,0,0,0,0,0,0,1,3,6,203,298,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,504.066,419,0
file_044,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,4,2,0,2,2,2,1,2,3,0,0,0,0,2,0,2,4,9,6,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,162.221,24,1
file_045,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,7.878,8,1
file_046,0,0,0,1,0,0,0,0,0,0,0,0,0,1,40,5,2,0,2,2,1,1,1,2,0,0,0,0,0,0,1,2,6,43,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55,63,153.552,91,0
