BodyText_Section0
[('[0x000056D0]',), 68, 5, '0x8', 8]
[('[0x0000566E]',), 67, 5, '0x5e', 94]
[('[0x00005652]',), 66, 4, '0x18', 24]
[('[0x0000562A]',), 69, 5, '0x24', 36]
[('[0x0000561E]',), 68, 5, '0x8', 8]
[('[0x000055C4]',), 67, 5, '0x56', 86]
[('[0x000055A8]',), 66, 4, '0x18', 24]
[('[0x00005575]',), 72, 4, '0x2f', 47]
[('[0x00005559]',), 77, 4, '0x18', 24]
[('[0x00005527]',), 71, 3, '0x2e', 46]
[('[0x000054FF]',), 69, 3, '0x24', 36]
[('[0x000054F3]',), 68, 3, '0x8', 8]
[('[0x000054DD]',), 67, 3, '0x12', 18]
[('[0x000054C1]',), 66, 2, '0x18', 24]
[('[0x00005499]',), 69, 3, '0x24', 36]
[('[0x0000548D]',), 68, 3, '0x8', 8]
[('[0x0000542D]',), 67, 3, '0x5c', 92]
[('[0x00005411]',), 66, 2, '0x18', 24]
[('[0x000053E9]',), 69, 3, '0x24', 36]
[('[0x000053DD]',), 68, 3, '0x8', 8]
[('[0x000053D5]',), 67, 3, '0x4', 4]
[('[0x000053B9]',), 66, 2, '0x18', 24]
[('[0x00005391]',), 69, 5, '0x24', 36]
[('[0x00005385]',), 68, 5, '0x8', 8]
[('[0x000052F7]',), 67, 5, '0x8a', 138]
[('[0x000052DB]',), 66, 4, '0x18', 24]
[('[0x000052B3]',), 69, 5, '0x24', 36]
[('[0x000052A7]',), 68, 5, '0x8', 8]
[('[0x00005233]',), 67, 5, '0x70', 112]
[('[0x00005217]',), 66, 4, '0x18', 24]
[('[0x000051EF]',), 69, 5, '0x24', 36]
[('[0x000051E3]',), 68, 5, '0x8', 8]
[('[0x00005179]',), 67, 5, '0x66', 102]
[('[0x0000515D]',), 66, 4, '0x18', 24]
[('[0x00005135]',), 69, 5, '0x24', 36]
[('[0x00005129]',), 68, 5, '0x8', 8]
[('[0x000050CF]',), 67, 5, '0x56', 86]
[('[0x000050B3]',), 66, 4, '0x18', 24]
[('[0x00005080]',), 72, 4, '0x2f', 47]
[('[0x00005064]',), 77, 4, '0x18', 24]
[('[0x00005032]',), 71, 3, '0x2e', 46]
[('[0x0000500A]',), 69, 3, '0x24', 36]
[('[0x00004FFE]',), 68, 3, '0x8', 8]
[('[0x00004FE8]',), 67, 3, '0x12', 18]
[('[0x00004FCC]',), 66, 2, '0x18', 24]
[('[0x00004FA4]',), 69, 3, '0x24', 36]
[('[0x00004F98]',), 68, 3, '0x8', 8]
[('[0x00004F3A]',), 67, 3, '0x5a', 90]
[('[0x00004F1E]',), 66, 2, '0x18', 24]
[('[0x00004EF6]',), 69, 3, '0x24', 36]
[('[0x00004EEA]',), 68, 3, '0x8', 8]
[('[0x00004E8A]',), 67, 3, '0x5c', 92]
[('[0x00004E6E]',), 66, 2, '0x18', 24]
[('[0x00004E46]',), 69, 3, '0x24', 36]
[('[0x00004E3A]',), 68, 3, '0x8', 8]
[('[0x00004DE0]',), 67, 3, '0x56', 86]
[('[0x00004DC4]',), 66, 2, '0x18', 24]
[('[0x00004D9C]',), 69, 3, '0x24', 36]
[('[0x00004D90]',), 68, 3, '0x8', 8]
[('[0x00004D46]',), 67, 3, '0x46', 70]
[('[0x00004D2A]',), 66, 2, '0x18', 24]
[('[0x00004D02]',), 69, 3, '0x24', 36]
[('[0x00004CF6]',), 68, 3, '0x8', 8]
[('[0x00004CA2]',), 67, 3, '0x50', 80]
[('[0x00004C86]',), 66, 2, '0x18', 24]
[('[0x00004C5E]',), 69, 3, '0x24', 36]
[('[0x00004C52]',), 68, 3, '0x8', 8]
[('[0x00004C0C]',), 67, 3, '0x42', 66]
[('[0x00004BF0]',), 66, 2, '0x18', 24]
[('[0x00004BC8]',), 69, 3, '0x24', 36]
[('[0x00004BBC]',), 68, 3, '0x8', 8]
[('[0x00004BA0]',), 66, 2, '0x18', 24]
[('[0x00004B78]',), 69, 5, '0x24', 36]
[('[0x00004B6C]',), 68, 5, '0x8', 8]
[('[0x00004B62]',), 67, 5, '0x6', 6]
[('[0x00004B46]',), 66, 4, '0x18', 24]
[('[0x00004B13]',), 72, 4, '0x2f', 47]
[('[0x00004AEB]',), 69, 5, '0x24', 36]
[('[0x00004ADF]',), 68, 5, '0x8', 8]
[('[0x00004AD5]',), 67, 5, '0x6', 6]
[('[0x00004AB9]',), 66, 4, '0x18', 24]
[('[0x00004A86]',), 72, 4, '0x2f', 47]
[('[0x00004A5E]',), 69, 5, '0x24', 36]
[('[0x00004A52]',), 68, 5, '0x8', 8]
[('[0x00004A48]',), 67, 5, '0x6', 6]
[('[0x00004A2C]',), 66, 4, '0x18', 24]
[('[0x000049F9]',), 72, 4, '0x2f', 47]
[('[0x000049D1]',), 69, 5, '0x24', 36]
[('[0x000049C5]',), 68, 5, '0x8', 8]
[('[0x000049A9]',), 67, 5, '0x18', 24]
[('[0x0000498D]',), 66, 4, '0x18', 24]
[('[0x0000495A]',), 72, 4, '0x2f', 47]
[('[0x00004932]',), 69, 5, '0x24', 36]
[('[0x00004926]',), 68, 5, '0x8', 8]
[('[0x00004902]',), 67, 5, '0x20', 32]
[('[0x000048E6]',), 66, 4, '0x18', 24]
[('[0x000048B3]',), 72, 4, '0x2f', 47]
[('[0x0000488B]',), 69, 5, '0x24', 36]
[('[0x0000487F]',), 68, 5, '0x8', 8]
[('[0x00004869]',), 67, 5, '0x12', 18]
[('[0x0000484D]',), 66, 4, '0x18', 24]
[('[0x0000481A]',), 72, 4, '0x2f', 47]
[('[0x000047F2]',), 69, 5, '0x24', 36]
[('[0x000047E6]',), 68, 5, '0x8', 8]
[('[0x000047DC]',), 67, 5, '0x6', 6]
[('[0x000047C0]',), 66, 4, '0x18', 24]
[('[0x0000478D]',), 72, 4, '0x2f', 47]
[('[0x00004765]',), 69, 5, '0x24', 36]
