BodyText_Section0
[('[0x0000F830]',), 69, 1, '0x24', 36]
[('[0x0000F824]',), 68, 1, '0x8', 8]
[('[0x0000F7E2]',), 67, 1, '0x3e', 62]
[('[0x0000F7C6]',), 66, 0, '0x18', 24]
[('[0x0000F79E]',), 69, 1, '0x24', 36]
[('[0x0000F792]',), 68, 1, '0x8', 8]
[('[0x0000F746]',), 67, 1, '0x48', 72]
[('[0x0000F72A]',), 66, 0, '0x18', 24]
[('[0x0000F702]',), 69, 1, '0x24', 36]
[('[0x0000F6F6]',), 68, 1, '0x8', 8]
[('[0x0000F6AC]',), 67, 1, '0x46', 70]
[('[0x0000F690]',), 66, 0, '0x18', 24]
[('[0x0000F668]',), 69, 1, '0x24', 36]
[('[0x0000F65C]',), 68, 1, '0x8', 8]
[('[0x0000F61E]',), 67, 1, '0x3a', 58]
[('[0x0000F602]',), 66, 0, '0x18', 24]
[('[0x0000F5DA]',), 69, 1, '0x24', 36]
[('[0x0000F5CE]',), 68, 1, '0x8', 8]
[('[0x0000F58A]',), 67, 1, '0x40', 64]
[('[0x0000F56E]',), 66, 0, '0x18', 24]
[('[0x0000F546]',), 69, 1, '0x24', 36]
[('[0x0000F53A]',), 68, 1, '0x8', 8]
[('[0x0000F500]',), 67, 1, '0x36', 54]
[('[0x0000F4E4]',), 66, 0, '0x18', 24]
[('[0x0000F4BC]',), 69, 1, '0x24', 36]
[('[0x0000F4B0]',), 68, 1, '0x8', 8]
[('[0x0000F454]',), 67, 1, '0x58', 88]
[('[0x0000F438]',), 66, 0, '0x18', 24]
[('[0x0000F410]',), 69, 1, '0x24', 36]
[('[0x0000F404]',), 68, 1, '0x8', 8]
[('[0x0000F3B8]',), 67, 1, '0x48', 72]
[('[0x0000F39C]',), 66, 0, '0x18', 24]
[('[0x0000F374]',), 69, 1, '0x24', 36]
[('[0x0000F368]',), 68, 1, '0x8', 8]
[('[0x0000F312]',), 67, 1, '0x52', 82]
[('[0x0000F2F6]',), 66, 0, '0x18', 24]
[('[0x0000F2CE]',), 69, 1, '0x24', 36]
[('[0x0000F2C2]',), 68, 1, '0x8', 8]
[('[0x0000F27E]',), 67, 1, '0x40', 64]
[('[0x0000F262]',), 66, 0, '0x18', 24]
[('[0x0000F23A]',), 69, 1, '0x24', 36]
[('[0x0000F22E]',), 68, 1, '0x8', 8]
[('[0x0000F1EA]',), 67, 1, '0x40', 64]
[('[0x0000F1CE]',), 66, 0, '0x18', 24]
[('[0x0000F1A6]',), 69, 1, '0x24', 36]
[('[0x0000F19A]',), 68, 1, '0x8', 8]
[('[0x0000F156]',), 67, 1, '0x40', 64]
[('[0x0000F13A]',), 66, 0, '0x18', 24]
[('[0x0000F112]',), 69, 1, '0x24', 36]
[('[0x0000F106]',), 68, 1, '0x8', 8]
[('[0x0000F0C2]',), 67, 1, '0x40', 64]
[('[0x0000F0A6]',), 66, 0, '0x18', 24]
[('[0x0000F07E]',), 69, 1, '0x24', 36]
[('[0x0000F072]',), 68, 1, '0x8', 8]
[('[0x0000F036]',), 67, 1, '0x38', 56]
[('[0x0000F01A]',), 66, 0, '0x18', 24]
[('[0x0000EFF2]',), 69, 1, '0x24', 36]
[('[0x0000EFE6]',), 68, 1, '0x8', 8]
[('[0x0000EFA2]',), 67, 1, '0x40', 64]
[('[0x0000EF86]',), 66, 0, '0x18', 24]
[('[0x0000EF5E]',), 69, 1, '0x24', 36]
[('[0x0000EF52]',), 68, 1, '0x8', 8]
[('[0x0000EF12]',), 67, 1, '0x3c', 60]
[('[0x0000EEF6]',), 66, 0, '0x18', 24]
[('[0x0000EECE]',), 69, 1, '0x24', 36]
[('[0x0000EEC2]',), 68, 1, '0x8', 8]
[('[0x0000EE7C]',), 67, 1, '0x42', 66]
[('[0x0000EE60]',), 66, 0, '0x18', 24]
[('[0x0000EE38]',), 69, 1, '0x24', 36]
[('[0x0000EE2C]',), 68, 1, '0x8', 8]
[('[0x0000EDE6]',), 67, 1, '0x42', 66]
[('[0x0000EDCA]',), 66, 0, '0x18', 24]
[('[0x0000EDA2]',), 69, 1, '0x24', 36]
[('[0x0000ED96]',), 68, 1, '0x8', 8]
[('[0x0000ED4A]',), 67, 1, '0x48', 72]
