BodyText_Section0
[('[0x000662E9]',), 66, 0, '0x18', 24]
[('[0x000662C1]',), 69, 1, '0x24', 36]
[('[0x000662B5]',), 68, 1, '0x8', 8]
[('[0x00066299]',), 66, 0, '0x18', 24]
[('[0x00066271]',), 69, 1, '0x24', 36]
[('[0x00066255]',), 68, 1, '0x18', 24]
[('[0x00066221]',), 67, 1, '0x30', 48]
[('[0x00066205]',), 66, 0, '0x18', 24]
[('[0x000661DD]',), 69, 3, '0x24', 36]
[('[0x000661D1]',), 68, 3, '0x8', 8]
[('[0x000661AD]',), 67, 3, '0x20', 32]
[('[0x00066191]',), 66, 2, '0x18', 24]
[('[0x0006615E]',), 72, 2, '0x2f', 47]
[('[0x00066136]',), 69, 3, '0x24', 36]
[('[0x0006612A]',), 68, 3, '0x8', 8]
[('[0x0006610E]',), 66, 2, '0x18', 24]
[('[0x000660DB]',), 72, 2, '0x2f', 47]
[('[0x000660C1]',), 87, 4, '0x16', 22]
[('[0x000660B9]',), 71, 3, '0x4', 4]
[('[0x00066091]',), 69, 3, '0x24', 36]
[('[0x00066085]',), 68, 3, '0x8', 8]
[('[0x00066065]',), 67, 3, '0x1c', 28]
[('[0x00066049]',), 66, 2, '0x18', 24]
[('[0x00066016]',), 72, 2, '0x2f', 47]
[('[0x00065FFA]',), 77, 2, '0x18', 24]
[('[0x00065FC8]',), 71, 1, '0x2e', 46]
[('[0x00065FA0]',), 69, 1, '0x24', 36]
[('[0x00065F94]',), 68, 1, '0x8', 8]
[('[0x00065F7E]',), 67, 1, '0x12', 18]
[('[0x00065F62]',), 66, 0, '0x18', 24]
[('[0x00065F3A]',), 69, 5, '0x24', 36]
[('[0x00065F2E]',), 68, 5, '0x8', 8]
[('[0x00065F1E]',), 67, 5, '0xc', 12]
[('[0x00065F02]',), 66, 4, '0x18', 24]
[('[0x00065ECF]',), 72, 4, '0x2f', 47]
[('[0x00065EB3]',), 77, 4, '0x18', 24]
[('[0x00065E81]',), 71, 3, '0x2e', 46]
[('[0x00065E59]',), 69, 3, '0x24', 36]
[('[0x00065E4D]',), 68, 3, '0x8', 8]
[('[0x00065E37]',), 67, 3, '0x12', 18]
[('[0x00065E1B]',), 66, 2, '0x18', 24]
[('[0x00065DDB]',), 80, 5, '0x3c', 60]
[('[0x00065CC9]',), 76, 4, '0x10e', 270]
[('[0x00065C97]',), 71, 3, '0x2e', 46]
[('[0x00065C6F]',), 69, 3, '0x24', 36]
[('[0x00065C53]',), 68, 3, '0x18', 24]
[('[0x00065C0F]',), 67, 3, '0x40', 64]
[('[0x00065BF3]',), 66, 2, '0x18', 24]
[('[0x00065BCB]',), 69, 5, '0x24', 36]
[('[0x00065BBF]',), 68, 5, '0x8', 8]
[('[0x00065BA3]',), 66, 4, '0x18', 24]
[('[0x00065B70]',), 72, 4, '0x2f', 47]
[('[0x00065B48]',), 69, 5, '0x24', 36]
[('[0x00065B3C]',), 68, 5, '0x8', 8]
[('[0x00065B20]',), 66, 4, '0x18', 24]
[('[0x00065AED]',), 72, 4, '0x2f', 47]
[('[0x00065AC5]',), 69, 5, '0x24', 36]
[('[0x00065AB9]',), 68, 5, '0x8', 8]
[('[0x00065AA1]',), 67, 5, '0x14', 20]
[('[0x00065A85]',), 66, 4, '0x18', 24]
[('[0x00065A52]',), 72, 4, '0x2f', 47]
[('[0x00065A2A]',), 69, 5, '0x24', 36]
[('[0x00065A1E]',), 68, 5, '0x8', 8]
[('[0x00065A04]',), 67, 5, '0x16', 22]
