file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_0038,0,1,0,0,0,0,0,0,0,1,1,0,0,1,113,113,0,0,0,1,6,0,1,7,0,0,3,3,0,3,5,6,116,106,3,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,460.895,238,0
file_0039,0,0,1,0,0,0,0,0,30,3,0,0,30,0,58,57,2,0,2,1,2,1,1,2,0,0,21,0,0,1,33,39,60,295,2,0,0,0,0,0,4,0,0,0,0,0,0,0,21,706,1367,287.825,158,0
file_0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,1,1,1,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,19.664,6,0
file_0041,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,2,0,2,2,1,1,1,2,0,0,0,0,0,1,2,6,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,25,162.644,12,0
file_0042,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,22,0,0,2,2,9,1,1,2,0,0,0,0,0,11,3,9,24,44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,75,128,110.84,79,0
file_0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,2,4,1,1,3,0,0,0,0,0,1,2,7,9,19,2,2,0,0,0,1,0,0,0,0,0,0,0,0,7,34,57,14.916,30,0
file_0044,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,4,0,2,2,1,1,1,2,0,0,0,0,0,2,2,6,11,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,81,107.583,27,0
file_0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2,2,1,1,1,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,15,19.642,3,0
file_0046,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,18,0,0,2,3,2,1,1,3,0,0,5,2,0,2,3,7,20,32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,10,291,563,49.515,57,0
file_0047,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,2,2,2,1,1,2,0,0,0,0,0,1,3,9,11,18,2,0,0,0,0,4,2,0,0,0,0,0,0,0,5,79,142,57.352,32,0
file_0048,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,12,0,0,2,2,4,1,1,2,0,0,0,2,0,2,4,9,14,572,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2502,4985,325.484,37,0
file_0049,0,0,0,1,0,0,0,0,0,0,0,0,0,4,23,22,3,0,2,2,2,1,1,2,0,0,6,0,0,1,2,6,25,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,207,366,253.722,54,0
file_0050,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,11,11,8.203,9,0
